sample_id,timestamp,room_id,room_type,building_zone,lesson_type,room_area_m2,capacity,occupancy_count,hvac_airflow_m3h,ventilation_level,outdoor_temp_c,indoor_temp_c,humidity_pct,co2_ppm_current,minutes_since_lesson_start,minutes_until_break,noise_level_db,is_exam_period,floor,future_co2_ppm,co2_risk_next_30min
ag-00000,2026-02-17T16:35:00,E-147,lab,east,lab,33.0,23,15,202.6,0.481,6.9,24.3,50.2,644.4,51,31,62.8,False,4,770.5,0
ag-00001,2026-02-24T16:40:00,E-119,lab,east,none,28.7,26,10,246.3,0.729,5.1,21.8,54.1,496.3,45,46,56.6,False,1,505.8,0
ag-00002,2026-03-05T09:25:00,W-481,seminar,west,practice,28.7,23,18,200.8,0.655,-2.4,22.2,51.9,540.9,55,36,64.7,False,5,572.5,0
ag-00003,2026-03-27T15:05:00,E-331,seminar,east,lecture,58.4,51,35,658.3,0.704,10.1,22.2,54.4,675.5,77,10,62.6,False,6,773.3,0
ag-00004,2026-02-10T16:25:00,W-391,seminar,west,lab,32.7,26,19,133.7,0.374,-5.8,23.0,51.1,565.4,31,47,63.4,False,4,559.8,0
ag-00005,2026-03-28T16:15:00,C-551,lecture,central,practice,79.3,87,61,732.8,0.737,9.7,25.9,58.7,730.3,68,18,53.3,False,2,1037.5,1
ag-00006,2026-05-19T18:10:00,N-595,lecture,north,practice,176.6,127,131,1161.6,0.439,14.3,26.1,67.0,1218.5,83,8,60.6,True,7,1611.4,1
ag-00007,2026-04-27T11:55:00,C-461,seminar,central,lecture,20.5,20,17,89.0,0.179,11.9,25.7,49.9,582.3,42,44,61.2,False,1,611.7,0
ag-00008,2026-04-24T12:00:00,C-501,seminar,central,none,61.3,53,9,538.6,0.733,7.8,21.4,41.1,498.9,39,36,39.6,False,3,621.1,0
ag-00009,2026-03-12T18:05:00,N-147,coworking,north,lecture,36.4,37,27,340.4,0.502,6.1,24.2,58.4,670.2,42,42,61.2,False,6,707.7,0
ag-00010,2026-02-19T08:20:00,C-550,lecture,central,exam,165.5,115,112,928.6,0.482,8.9,20.8,60.6,1103.9,46,46,63.5,False,6,1522.7,1
ag-00011,2026-05-14T15:50:00,E-145,seminar,east,lecture,60.1,44,41,448.1,0.576,9.9,25.3,60.2,694.0,73,23,73.5,True,2,876.6,0
ag-00012,2026-04-22T14:00:00,N-382,seminar,north,lecture,30.4,25,20,206.6,0.267,15.7,22.0,71.4,613.5,51,45,58.7,False,1,729.0,0
ag-00013,2026-05-13T14:25:00,N-372,seminar,north,lab,62.3,44,38,429.8,0.405,18.5,27.4,58.7,480.5,0,90,60.3,True,1,653.1,0
ag-00014,2026-03-20T18:00:00,C-153,lecture,central,exam,84.1,58,55,351.6,0.498,7.8,25.4,59.0,660.2,56,31,64.3,False,6,975.0,0
ag-00015,2026-04-19T17:50:00,N-535,lecture,north,lecture,75.4,64,50,467.7,0.576,16.3,26.2,47.9,826.1,52,29,63.2,False,5,1003.7,0
ag-00016,2026-03-25T09:10:00,C-449,lecture,central,practice,119.4,95,70,415.7,0.213,8.6,25.6,51.6,858.0,50,39,61.6,False,3,1025.4,0
ag-00017,2026-04-06T14:40:00,W-134,seminar,west,lab,45.3,34,18,326.6,0.423,12.9,23.3,53.3,589.6,20,73,51.1,False,6,700.5,0
ag-00018,2026-05-10T08:25:00,C-177,lab,central,practice,45.5,37,20,500.5,0.973,13.9,23.0,54.0,417.5,63,29,58.8,True,3,523.3,0
ag-00019,2026-02-17T17:45:00,C-285,seminar,central,practice,26.0,26,20,157.9,0.238,-2.7,21.7,51.9,646.3,48,40,59.0,False,4,875.8,0
ag-00020,2026-03-24T18:15:00,E-349,lab,east,practice,39.3,33,22,267.9,0.791,6.8,22.4,61.4,444.6,47,31,58.0,False,2,393.1,0
ag-00021,2026-05-16T14:45:00,E-128,lab,east,lecture,42.3,37,27,470.6,0.858,7.8,21.6,54.7,597.6,27,69,60.9,True,3,720.7,0
ag-00022,2026-05-15T08:20:00,N-486,lab,north,lab,48.2,35,22,465.5,0.818,16.1,23.5,51.1,591.4,54,31,55.1,True,4,689.3,0
ag-00023,2026-05-08T17:10:00,E-580,lecture,east,practice,145.2,108,120,1198.3,0.508,8.7,22.2,66.3,1174.4,31,73,67.6,True,6,1547.1,1
ag-00024,2026-03-31T13:55:00,S-263,coworking,south,lecture,74.2,53,13,446.5,0.694,10.6,25.7,52.9,488.9,52,36,52.8,False,6,517.1,0
ag-00025,2026-04-01T18:25:00,W-375,lecture,west,none,57.2,62,4,253.5,0.178,8.8,23.9,38.4,395.2,17,77,43.4,False,6,449.3,0
ag-00026,2026-03-27T17:30:00,S-339,lecture,south,lecture,156.9,123,99,935.8,0.756,10.9,23.4,61.7,1037.8,46,50,65.6,False,4,1607.6,1
ag-00027,2026-02-25T17:45:00,S-487,lab,south,lecture,48.3,42,44,420.6,0.656,8.8,25.2,69.7,718.4,59,33,58.1,False,2,948.7,0
ag-00028,2026-04-17T15:00:00,N-102,seminar,north,none,28.2,31,11,261.3,0.451,11.2,21.9,41.5,592.1,55,38,42.4,False,4,677.8,0
ag-00029,2026-04-22T16:30:00,N-322,lab,north,none,34.3,29,7,271.3,0.754,14.0,22.7,40.0,385.2,29,72,42.4,True,1,504.7,0
ag-00030,2026-04-27T17:40:00,C-202,lab,central,lecture,23.6,18,21,143.1,0.627,29.4,26.5,60.3,578.9,68,19,67.3,True,2,630.0,0
ag-00031,2026-02-18T13:45:00,E-507,coworking,east,lecture,32.1,32,18,323.1,0.625,-8.1,20.5,55.1,457.5,36,53,55.9,False,6,343.9,0
ag-00032,2026-04-24T14:20:00,E-180,lecture,east,lecture,121.8,89,55,843.8,0.475,21.0,22.6,72.7,854.7,35,44,57.7,False,4,967.2,0
ag-00033,2026-04-03T15:10:00,N-364,lecture,north,lecture,173.5,125,92,864.8,0.659,9.5,24.2,67.5,1075.9,86,6,62.8,False,4,1573.5,1
ag-00034,2026-04-16T10:50:00,C-334,lab,central,lab,27.6,28,15,282.0,0.553,13.8,25.5,55.7,565.6,14,75,55.1,False,5,646.7,0
ag-00035,2026-03-12T12:40:00,W-447,seminar,west,lab,53.4,46,17,339.5,0.438,7.0,22.5,47.9,632.5,65,36,60.6,False,3,701.1,0
ag-00036,2026-03-27T12:15:00,N-427,lecture,north,lab,80.9,64,33,793.4,0.879,8.4,22.5,51.7,541.9,58,34,56.6,True,4,756.3,0
ag-00037,2026-03-20T12:40:00,W-330,lecture,west,practice,148.3,120,85,991.7,0.425,3.0,22.6,53.5,1223.8,56,26,61.5,False,5,1590.9,1
ag-00038,2026-03-17T12:15:00,S-184,lab,south,none,29.8,33,6,328.7,0.844,-1.7,20.8,50.3,504.0,77,35,44.5,False,5,476.2,0
ag-00039,2026-02-26T09:25:00,S-557,seminar,south,practice,62.9,50,44,414.0,0.549,5.8,24.9,64.9,793.7,12,83,56.4,False,1,1013.5,0
ag-00040,2026-03-13T09:15:00,E-101,lecture,east,lecture,82.1,72,53,682.4,0.424,1.0,23.5,52.7,841.3,79,9,66.2,False,7,1075.9,0
ag-00041,2026-02-20T16:05:00,N-244,lecture,north,lecture,129.8,116,93,1069.7,0.34,-10.5,22.1,50.0,1152.5,32,55,53.9,False,3,1409.4,1
ag-00042,2026-03-06T16:05:00,C-235,seminar,central,practice,62.9,53,43,453.8,0.313,6.0,25.0,58.6,661.6,83,15,60.5,False,4,882.9,0
ag-00043,2026-02-26T08:05:00,S-561,lab,south,lecture,25.1,27,22,198.3,0.774,-4.1,21.1,41.5,400.9,9,90,61.4,False,2,517.2,0
ag-00044,2026-04-30T18:15:00,E-290,seminar,east,none,70.5,63,14,462.7,0.341,22.4,22.0,57.4,612.8,43,43,39.1,False,1,725.4,0
ag-00045,2026-03-18T13:05:00,C-383,lecture,central,lab,85.5,84,51,650.6,0.342,14.1,25.7,53.0,733.8,52,33,57.2,False,6,1011.3,0
ag-00046,2026-05-13T11:50:00,C-235,seminar,central,practice,21.7,22,16,130.7,0.062,9.9,22.8,58.3,597.0,0,90,63.3,True,1,617.4,0
ag-00047,2026-03-09T15:15:00,C-167,lab,central,lecture,37.0,32,20,325.4,0.799,6.2,21.0,55.5,642.2,62,12,52.3,False,4,654.0,0
ag-00048,2026-03-17T08:10:00,E-121,coworking,east,none,76.0,59,12,376.2,0.646,15.8,23.0,45.6,450.7,28,58,46.4,False,1,556.1,0
ag-00049,2026-04-20T13:45:00,S-292,coworking,south,exam,73.7,76,70,491.5,0.295,10.8,24.2,47.5,1052.2,44,55,58.7,False,4,1310.5,1
ag-00050,2026-04-16T18:50:00,C-177,lecture,central,lecture,75.7,81,71,800.0,0.5,22.9,21.9,70.8,986.0,78,5,74.2,False,2,1201.7,1
ag-00051,2026-03-24T16:10:00,W-550,lab,west,lecture,43.1,43,21,418.8,0.719,13.2,22.0,56.9,423.5,4,90,53.7,False,3,468.3,0
ag-00052,2026-03-26T15:10:00,C-430,seminar,central,practice,49.5,39,21,315.7,0.525,0.8,20.8,55.7,565.5,72,17,44.2,False,6,673.5,0
ag-00053,2026-04-26T09:40:00,W-108,lecture,west,practice,88.3,90,52,819.9,0.641,15.0,21.6,61.2,692.6,10,75,53.2,False,4,863.1,0
ag-00054,2026-04-20T11:50:00,S-564,lecture,south,lab,69.3,59,24,444.6,0.256,17.8,24.9,51.0,649.8,0,90,55.2,False,1,827.7,0
ag-00055,2026-05-08T09:15:00,C-380,seminar,central,lecture,66.6,47,27,202.9,0.262,12.2,23.1,44.3,627.7,25,59,60.1,True,2,682.0,0
ag-00056,2026-02-09T12:55:00,E-485,lecture,east,lab,110.8,100,42,861.2,0.852,-0.8,23.4,46.9,518.0,38,39,40.9,False,5,733.0,0
ag-00057,2026-03-21T10:55:00,N-296,lecture,north,lab,105.9,111,55,975.6,0.33,5.1,23.8,51.8,780.2,40,50,50.9,False,7,1012.3,0
ag-00058,2026-04-11T17:10:00,C-532,lecture,central,lecture,127.1,119,93,758.1,0.308,10.9,23.8,47.3,1094.7,55,15,64.3,False,3,1524.9,1
ag-00059,2026-04-17T10:30:00,E-402,lecture,east,exam,164.7,127,142,1132.8,0.359,13.3,24.0,65.5,1447.3,0,90,72.4,False,4,2150.4,1
ag-00060,2026-03-28T08:25:00,S-298,lab,south,lecture,56.8,40,24,282.2,0.34,6.0,26.9,42.0,747.4,47,33,54.5,True,1,824.2,0
ag-00061,2026-03-15T18:30:00,N-490,lecture,north,none,171.7,122,39,1263.1,0.441,11.5,23.0,43.2,615.2,27,63,50.5,False,2,697.8,0
ag-00062,2026-03-23T09:45:00,S-442,lab,south,practice,59.0,43,36,341.6,0.65,4.6,25.4,65.0,663.1,88,20,56.9,True,3,885.6,0
ag-00063,2026-03-25T17:40:00,E-369,lecture,east,exam,125.2,95,110,1082.7,0.821,15.1,25.6,67.0,1044.6,0,82,73.6,False,6,1390.7,1
ag-00064,2026-04-20T08:10:00,E-184,lecture,east,none,158.1,127,22,1279.0,0.749,12.6,23.5,32.5,428.1,0,90,46.9,False,3,539.5,0
ag-00065,2026-04-02T15:45:00,S-228,lecture,south,practice,184.5,128,102,949.7,0.404,10.4,23.7,71.2,880.6,17,68,61.4,False,5,1348.0,1
ag-00066,2026-05-09T11:40:00,N-111,lecture,north,practice,157.2,115,97,987.5,0.362,16.7,24.4,58.5,975.9,60,27,63.6,True,6,1632.7,1
ag-00067,2026-03-03T16:00:00,S-535,seminar,south,lab,22.8,20,11,146.0,0.409,-2.0,20.4,52.8,525.0,26,51,57.9,False,6,584.4,0
ag-00068,2026-04-21T18:10:00,C-139,coworking,central,practice,91.6,67,13,342.4,0.394,17.7,19.9,57.5,446.7,40,40,44.5,False,5,606.4,0
ag-00069,2026-03-18T10:50:00,E-194,lecture,east,lab,129.2,124,46,713.4,0.517,16.4,23.0,53.6,651.6,0,84,52.6,False,5,769.0,0
ag-00070,2026-02-22T08:30:00,S-307,lecture,south,practice,125.8,106,74,613.4,0.59,9.9,24.3,58.9,841.7,26,64,57.8,False,7,1142.0,1
ag-00071,2026-04-10T10:45:00,E-464,lecture,east,exam,143.9,102,87,906.9,0.302,10.2,22.7,69.9,1134.0,58,21,71.6,False,4,1509.0,1
ag-00072,2026-05-18T18:55:00,S-324,seminar,south,exam,28.5,27,17,155.7,0.316,14.3,23.8,61.9,641.8,29,68,52.1,True,1,744.0,0
ag-00073,2026-05-10T12:20:00,E-236,lecture,east,practice,66.0,64,47,793.9,0.84,8.1,25.8,60.5,630.9,52,35,59.1,True,2,766.3,0
ag-00074,2026-05-11T12:25:00,S-145,lecture,south,lecture,72.2,79,45,576.8,0.371,12.3,24.2,56.9,793.0,58,33,60.3,True,1,918.4,0
ag-00075,2026-02-12T15:45:00,E-434,lab,east,lab,39.1,41,32,363.0,0.657,0.8,23.9,60.8,638.0,62,32,61.2,False,7,795.0,0
ag-00076,2026-02-09T16:25:00,C-363,lab,central,lecture,42.7,43,41,334.4,0.317,-3.5,23.2,69.8,712.9,32,59,64.8,False,4,802.7,0
ag-00077,2026-02-24T15:05:00,S-568,coworking,south,practice,83.9,72,63,532.3,0.464,-3.7,24.6,61.2,782.3,54,40,66.2,False,3,1119.1,1
ag-00078,2026-05-06T13:25:00,S-227,lecture,south,practice,105.7,95,36,760.7,0.459,13.9,23.1,56.7,757.0,71,16,49.5,True,5,995.5,0
ag-00079,2026-04-25T08:30:00,E-403,lab,east,none,42.1,34,3,310.9,0.39,14.6,23.0,38.1,380.0,7,90,40.5,False,3,445.1,0
ag-00080,2026-04-19T08:00:00,W-464,lecture,west,lecture,179.2,126,109,651.9,0.152,17.7,25.2,41.6,1115.9,20,71,62.0,False,6,1631.8,1
ag-00081,2026-02-17T11:15:00,N-371,coworking,north,lecture,37.7,31,30,263.3,0.416,4.7,27.6,70.0,626.2,0,90,70.7,False,6,752.6,0
